,Date,Day(Eng),Day(Nufi),Date (Jour-Mois-Annee),Date (yyyy-mm-dd),Nufi_Date,Nufi_Full_Date
25,July 26 1993,Monday,Nkɑ́ɑ́tēē,26-07-1993,1993 July 26,"līē' 26, Ntûmbhìngòfāt, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 26, Ntûmbhìngòfāt, Ngù' 1993"
26,July 27 1993,Tuesday,Nshwīe'ko,27-07-1993,1993 July 27,"līē' 27, Ntûmbhìngòfāt, Ngù' 1993","Nshwīe'ko, līē' 27, Ntûmbhìngòfāt, Ngù' 1993"
27,July 28 1993,Wednesday,Ncômntēē,28-07-1993,1993 July 28,"līē' 28, Ntûmbhìngòfāt, Ngù' 1993","Ncômntēē, līē' 28, Ntûmbhìngòfāt, Ngù' 1993"
28,July 29 1993,Thursday,Nzîngū,29-07-1993,1993 July 29,"līē' 29, Ntûmbhìngòfāt, Ngù' 1993","Nzîngū, līē' 29, Ntûmbhìngòfāt, Ngù' 1993"
29,July 30 1993,Friday,Nzîsō,30-07-1993,1993 July 30,"līē' 30, Ntûmbhìngòfāt, Ngù' 1993","Nzîsō, līē' 30, Ntûmbhìngòfāt, Ngù' 1993"
30,July 31 1993,Saturday,Nthʉ̂'kwɑ̀,31-07-1993,1993 July 31,"līē' 31, Ntûmbhìngòfāt, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 31, Ntûmbhìngòfāt, Ngù' 1993"
0,August 1 1993,Sunday,Nthʉ̂'ntāā,01-08-1993,1993 August 01,"Ntûmbhì līē', Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'ntāā, Ntûmbhì līē', Mɑ̂ngà'nshì, Ngù' 1993"
1,August 2 1993,Monday,Líé'nkwe',02-08-1993,1993 August 02,"līē' 2, Mɑ̂ngà'nshì, Ngù' 1993","Líé'nkwe', līē' 2, Mɑ̂ngà'nshì, Ngù' 1993"
2,August 3 1993,Tuesday,Nkɑ́ɑ́tēē,03-08-1993,1993 August 03,"līē' 3, Mɑ̂ngà'nshì, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 3, Mɑ̂ngà'nshì, Ngù' 1993"
3,August 4 1993,Wednesday,Nshwīe'ko,04-08-1993,1993 August 04,"līē' 4, Mɑ̂ngà'nshì, Ngù' 1993","Nshwīe'ko, līē' 4, Mɑ̂ngà'nshì, Ngù' 1993"
4,August 5 1993,Thursday,Ncômntēē,05-08-1993,1993 August 05,"līē' 5, Mɑ̂ngà'nshì, Ngù' 1993","Ncômntēē, līē' 5, Mɑ̂ngà'nshì, Ngù' 1993"
5,August 6 1993,Friday,Nzîngū,06-08-1993,1993 August 06,"līē' 6, Mɑ̂ngà'nshì, Ngù' 1993","Nzîngū, līē' 6, Mɑ̂ngà'nshì, Ngù' 1993"
6,August 7 1993,Saturday,Nzîsō,07-08-1993,1993 August 07,"līē' 7, Mɑ̂ngà'nshì, Ngù' 1993","Nzîsō, līē' 7, Mɑ̂ngà'nshì, Ngù' 1993"
7,August 8 1993,Sunday,Nthʉ̂'kwɑ̀,08-08-1993,1993 August 08,"līē' 8, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 8, Mɑ̂ngà'nshì, Ngù' 1993"
8,August 9 1993,Monday,Nthʉ̂'ntāā,09-08-1993,1993 August 09,"līē' 9, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'ntāā, līē' 9, Mɑ̂ngà'nshì, Ngù' 1993"
9,August 10 1993,Tuesday,Líé'nkwe',10-08-1993,1993 August 10,"līē' 10, Mɑ̂ngà'nshì, Ngù' 1993","Líé'nkwe', līē' 10, Mɑ̂ngà'nshì, Ngù' 1993"
10,August 11 1993,Wednesday,Nkɑ́ɑ́tēē,11-08-1993,1993 August 11,"līē' 11, Mɑ̂ngà'nshì, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 11, Mɑ̂ngà'nshì, Ngù' 1993"
11,August 12 1993,Thursday,Nshwīe'ko,12-08-1993,1993 August 12,"līē' 12, Mɑ̂ngà'nshì, Ngù' 1993","Nshwīe'ko, līē' 12, Mɑ̂ngà'nshì, Ngù' 1993"
12,August 13 1993,Friday,Ncômntēē,13-08-1993,1993 August 13,"līē' 13, Mɑ̂ngà'nshì, Ngù' 1993","Ncômntēē, līē' 13, Mɑ̂ngà'nshì, Ngù' 1993"
13,August 14 1993,Saturday,Nzîngū,14-08-1993,1993 August 14,"līē' 14, Mɑ̂ngà'nshì, Ngù' 1993","Nzîngū, līē' 14, Mɑ̂ngà'nshì, Ngù' 1993"
14,August 15 1993,Sunday,Nzîsō,15-08-1993,1993 August 15,"līē' 15, Mɑ̂ngà'nshì, Ngù' 1993","Nzîsō, līē' 15, Mɑ̂ngà'nshì, Ngù' 1993"
15,August 16 1993,Monday,Nthʉ̂'kwɑ̀,16-08-1993,1993 August 16,"līē' 16, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 16, Mɑ̂ngà'nshì, Ngù' 1993"
16,August 17 1993,Tuesday,Nthʉ̂'ntāā,17-08-1993,1993 August 17,"līē' 17, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'ntāā, līē' 17, Mɑ̂ngà'nshì, Ngù' 1993"
17,August 18 1993,Wednesday,Líé'nkwe',18-08-1993,1993 August 18,"līē' 18, Mɑ̂ngà'nshì, Ngù' 1993","Líé'nkwe', līē' 18, Mɑ̂ngà'nshì, Ngù' 1993"
18,August 19 1993,Thursday,Nkɑ́ɑ́tēē,19-08-1993,1993 August 19,"līē' 19, Mɑ̂ngà'nshì, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 19, Mɑ̂ngà'nshì, Ngù' 1993"
19,August 20 1993,Friday,Nshwīe'ko,20-08-1993,1993 August 20,"līē' 20, Mɑ̂ngà'nshì, Ngù' 1993","Nshwīe'ko, līē' 20, Mɑ̂ngà'nshì, Ngù' 1993"
20,August 21 1993,Saturday,Ncômntēē,21-08-1993,1993 August 21,"līē' 21, Mɑ̂ngà'nshì, Ngù' 1993","Ncômntēē, līē' 21, Mɑ̂ngà'nshì, Ngù' 1993"
21,August 22 1993,Sunday,Nzîngū,22-08-1993,1993 August 22,"līē' 22, Mɑ̂ngà'nshì, Ngù' 1993","Nzîngū, līē' 22, Mɑ̂ngà'nshì, Ngù' 1993"
22,August 23 1993,Monday,Nzîsō,23-08-1993,1993 August 23,"līē' 23, Mɑ̂ngà'nshì, Ngù' 1993","Nzîsō, līē' 23, Mɑ̂ngà'nshì, Ngù' 1993"
23,August 24 1993,Tuesday,Nthʉ̂'kwɑ̀,24-08-1993,1993 August 24,"līē' 24, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 24, Mɑ̂ngà'nshì, Ngù' 1993"
24,August 25 1993,Wednesday,Nthʉ̂'ntāā,25-08-1993,1993 August 25,"līē' 25, Mɑ̂ngà'nshì, Ngù' 1993","Nthʉ̂'ntāā, līē' 25, Mɑ̂ngà'nshì, Ngù' 1993"
25,August 26 1993,Thursday,Líé'nkwe',26-08-1993,1993 August 26,"līē' 26, Mɑ̂ngà'nshì, Ngù' 1993","Líé'nkwe', līē' 26, Mɑ̂ngà'nshì, Ngù' 1993"
26,August 27 1993,Friday,Nkɑ́ɑ́tēē,27-08-1993,1993 August 27,"līē' 27, Mɑ̂ngà'nshì, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 27, Mɑ̂ngà'nshì, Ngù' 1993"
27,August 28 1993,Saturday,Nshwīe'ko,28-08-1993,1993 August 28,"līē' 28, Mɑ̂ngà'nshì, Ngù' 1993","Nshwīe'ko, līē' 28, Mɑ̂ngà'nshì, Ngù' 1993"
28,August 29 1993,Sunday,Ncômntēē,29-08-1993,1993 August 29,"līē' 29, Mɑ̂ngà'nshì, Ngù' 1993","Ncômntēē, līē' 29, Mɑ̂ngà'nshì, Ngù' 1993"
29,August 30 1993,Monday,Nzîngū,30-08-1993,1993 August 30,"līē' 30, Mɑ̂ngà'nshì, Ngù' 1993","Nzîngū, līē' 30, Mɑ̂ngà'nshì, Ngù' 1993"
30,August 31 1993,Tuesday,Nzîsō,31-08-1993,1993 August 31,"līē' 31, Mɑ̂ngà'nshì, Ngù' 1993","Nzîsō, līē' 31, Mɑ̂ngà'nshì, Ngù' 1993"
0,September 1 1993,Wednesday,Nthʉ̂'kwɑ̀,01-09-1993,1993 September 01,"Ntûmbhì līē', Kùkū', Ngù' 1993","Nthʉ̂'kwɑ̀, Ntûmbhì līē', Kùkū', Ngù' 1993"
1,September 2 1993,Thursday,Nthʉ̂'ntāā,02-09-1993,1993 September 02,"līē' 2, Kùkū', Ngù' 1993","Nthʉ̂'ntāā, līē' 2, Kùkū', Ngù' 1993"
2,September 3 1993,Friday,Líé'nkwe',03-09-1993,1993 September 03,"līē' 3, Kùkū', Ngù' 1993","Líé'nkwe', līē' 3, Kùkū', Ngù' 1993"
3,September 4 1993,Saturday,Nkɑ́ɑ́tēē,04-09-1993,1993 September 04,"līē' 4, Kùkū', Ngù' 1993","Nkɑ́ɑ́tēē, līē' 4, Kùkū', Ngù' 1993"
4,September 5 1993,Sunday,Nshwīe'ko,05-09-1993,1993 September 05,"līē' 5, Kùkū', Ngù' 1993","Nshwīe'ko, līē' 5, Kùkū', Ngù' 1993"
5,September 6 1993,Monday,Ncômntēē,06-09-1993,1993 September 06,"līē' 6, Kùkū', Ngù' 1993","Ncômntēē, līē' 6, Kùkū', Ngù' 1993"
6,September 7 1993,Tuesday,Nzîngū,07-09-1993,1993 September 07,"līē' 7, Kùkū', Ngù' 1993","Nzîngū, līē' 7, Kùkū', Ngù' 1993"
7,September 8 1993,Wednesday,Nzîsō,08-09-1993,1993 September 08,"līē' 8, Kùkū', Ngù' 1993","Nzîsō, līē' 8, Kùkū', Ngù' 1993"
8,September 9 1993,Thursday,Nthʉ̂'kwɑ̀,09-09-1993,1993 September 09,"līē' 9, Kùkū', Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 9, Kùkū', Ngù' 1993"
9,September 10 1993,Friday,Nthʉ̂'ntāā,10-09-1993,1993 September 10,"līē' 10, Kùkū', Ngù' 1993","Nthʉ̂'ntāā, līē' 10, Kùkū', Ngù' 1993"
10,September 11 1993,Saturday,Líé'nkwe',11-09-1993,1993 September 11,"līē' 11, Kùkū', Ngù' 1993","Líé'nkwe', līē' 11, Kùkū', Ngù' 1993"
11,September 12 1993,Sunday,Nkɑ́ɑ́tēē,12-09-1993,1993 September 12,"līē' 12, Kùkū', Ngù' 1993","Nkɑ́ɑ́tēē, līē' 12, Kùkū', Ngù' 1993"
12,September 13 1993,Monday,Nshwīe'ko,13-09-1993,1993 September 13,"līē' 13, Kùkū', Ngù' 1993","Nshwīe'ko, līē' 13, Kùkū', Ngù' 1993"
13,September 14 1993,Tuesday,Ncômntēē,14-09-1993,1993 September 14,"līē' 14, Kùkū', Ngù' 1993","Ncômntēē, līē' 14, Kùkū', Ngù' 1993"
14,September 15 1993,Wednesday,Nzîngū,15-09-1993,1993 September 15,"līē' 15, Kùkū', Ngù' 1993","Nzîngū, līē' 15, Kùkū', Ngù' 1993"
15,September 16 1993,Thursday,Nzîsō,16-09-1993,1993 September 16,"līē' 16, Kùkū', Ngù' 1993","Nzîsō, līē' 16, Kùkū', Ngù' 1993"
16,September 17 1993,Friday,Nthʉ̂'kwɑ̀,17-09-1993,1993 September 17,"līē' 17, Kùkū', Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 17, Kùkū', Ngù' 1993"
17,September 18 1993,Saturday,Nthʉ̂'ntāā,18-09-1993,1993 September 18,"līē' 18, Kùkū', Ngù' 1993","Nthʉ̂'ntāā, līē' 18, Kùkū', Ngù' 1993"
18,September 19 1993,Sunday,Líé'nkwe',19-09-1993,1993 September 19,"līē' 19, Kùkū', Ngù' 1993","Líé'nkwe', līē' 19, Kùkū', Ngù' 1993"
19,September 20 1993,Monday,Nkɑ́ɑ́tēē,20-09-1993,1993 September 20,"līē' 20, Kùkū', Ngù' 1993","Nkɑ́ɑ́tēē, līē' 20, Kùkū', Ngù' 1993"
20,September 21 1993,Tuesday,Nshwīe'ko,21-09-1993,1993 September 21,"līē' 21, Kùkū', Ngù' 1993","Nshwīe'ko, līē' 21, Kùkū', Ngù' 1993"
21,September 22 1993,Wednesday,Ncômntēē,22-09-1993,1993 September 22,"līē' 22, Kùkū', Ngù' 1993","Ncômntēē, līē' 22, Kùkū', Ngù' 1993"
22,September 23 1993,Thursday,Nzîngū,23-09-1993,1993 September 23,"līē' 23, Kùkū', Ngù' 1993","Nzîngū, līē' 23, Kùkū', Ngù' 1993"
23,September 24 1993,Friday,Nzîsō,24-09-1993,1993 September 24,"līē' 24, Kùkū', Ngù' 1993","Nzîsō, līē' 24, Kùkū', Ngù' 1993"
24,September 25 1993,Saturday,Nthʉ̂'kwɑ̀,25-09-1993,1993 September 25,"līē' 25, Kùkū', Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 25, Kùkū', Ngù' 1993"
25,September 26 1993,Sunday,Nthʉ̂'ntāā,26-09-1993,1993 September 26,"līē' 26, Kùkū', Ngù' 1993","Nthʉ̂'ntāā, līē' 26, Kùkū', Ngù' 1993"
26,September 27 1993,Monday,Líé'nkwe',27-09-1993,1993 September 27,"līē' 27, Kùkū', Ngù' 1993","Líé'nkwe', līē' 27, Kùkū', Ngù' 1993"
27,September 28 1993,Tuesday,Nkɑ́ɑ́tēē,28-09-1993,1993 September 28,"līē' 28, Kùkū', Ngù' 1993","Nkɑ́ɑ́tēē, līē' 28, Kùkū', Ngù' 1993"
28,September 29 1993,Wednesday,Nshwīe'ko,29-09-1993,1993 September 29,"līē' 29, Kùkū', Ngù' 1993","Nshwīe'ko, līē' 29, Kùkū', Ngù' 1993"
29,September 30 1993,Thursday,Ncômntēē,30-09-1993,1993 September 30,"līē' 30, Kùkū', Ngù' 1993","Ncômntēē, līē' 30, Kùkū', Ngù' 1993"
0,October 1 1993,Friday,Nzîngū,01-10-1993,1993 October 01,"Ntûmbhì līē', Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîngū, Ntûmbhì līē', Ndʉ̌'nzɑ̄, Ngù' 1993"
1,October 2 1993,Saturday,Nzîsō,02-10-1993,1993 October 02,"līē' 2, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîsō, līē' 2, Ndʉ̌'nzɑ̄, Ngù' 1993"
2,October 3 1993,Sunday,Nthʉ̂'kwɑ̀,03-10-1993,1993 October 03,"līē' 3, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 3, Ndʉ̌'nzɑ̄, Ngù' 1993"
3,October 4 1993,Monday,Nthʉ̂'ntāā,04-10-1993,1993 October 04,"līē' 4, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'ntāā, līē' 4, Ndʉ̌'nzɑ̄, Ngù' 1993"
4,October 5 1993,Tuesday,Líé'nkwe',05-10-1993,1993 October 05,"līē' 5, Ndʉ̌'nzɑ̄, Ngù' 1993","Líé'nkwe', līē' 5, Ndʉ̌'nzɑ̄, Ngù' 1993"
5,October 6 1993,Wednesday,Nkɑ́ɑ́tēē,06-10-1993,1993 October 06,"līē' 6, Ndʉ̌'nzɑ̄, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 6, Ndʉ̌'nzɑ̄, Ngù' 1993"
6,October 7 1993,Thursday,Nshwīe'ko,07-10-1993,1993 October 07,"līē' 7, Ndʉ̌'nzɑ̄, Ngù' 1993","Nshwīe'ko, līē' 7, Ndʉ̌'nzɑ̄, Ngù' 1993"
7,October 8 1993,Friday,Ncômntēē,08-10-1993,1993 October 08,"līē' 8, Ndʉ̌'nzɑ̄, Ngù' 1993","Ncômntēē, līē' 8, Ndʉ̌'nzɑ̄, Ngù' 1993"
8,October 9 1993,Saturday,Nzîngū,09-10-1993,1993 October 09,"līē' 9, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîngū, līē' 9, Ndʉ̌'nzɑ̄, Ngù' 1993"
9,October 10 1993,Sunday,Nzîsō,10-10-1993,1993 October 10,"līē' 10, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîsō, līē' 10, Ndʉ̌'nzɑ̄, Ngù' 1993"
10,October 11 1993,Monday,Nthʉ̂'kwɑ̀,11-10-1993,1993 October 11,"līē' 11, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 11, Ndʉ̌'nzɑ̄, Ngù' 1993"
11,October 12 1993,Tuesday,Nthʉ̂'ntāā,12-10-1993,1993 October 12,"līē' 12, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'ntāā, līē' 12, Ndʉ̌'nzɑ̄, Ngù' 1993"
12,October 13 1993,Wednesday,Líé'nkwe',13-10-1993,1993 October 13,"līē' 13, Ndʉ̌'nzɑ̄, Ngù' 1993","Líé'nkwe', līē' 13, Ndʉ̌'nzɑ̄, Ngù' 1993"
13,October 14 1993,Thursday,Nkɑ́ɑ́tēē,14-10-1993,1993 October 14,"līē' 14, Ndʉ̌'nzɑ̄, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 14, Ndʉ̌'nzɑ̄, Ngù' 1993"
14,October 15 1993,Friday,Nshwīe'ko,15-10-1993,1993 October 15,"līē' 15, Ndʉ̌'nzɑ̄, Ngù' 1993","Nshwīe'ko, līē' 15, Ndʉ̌'nzɑ̄, Ngù' 1993"
15,October 16 1993,Saturday,Ncômntēē,16-10-1993,1993 October 16,"līē' 16, Ndʉ̌'nzɑ̄, Ngù' 1993","Ncômntēē, līē' 16, Ndʉ̌'nzɑ̄, Ngù' 1993"
16,October 17 1993,Sunday,Nzîngū,17-10-1993,1993 October 17,"līē' 17, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîngū, līē' 17, Ndʉ̌'nzɑ̄, Ngù' 1993"
17,October 18 1993,Monday,Nzîsō,18-10-1993,1993 October 18,"līē' 18, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîsō, līē' 18, Ndʉ̌'nzɑ̄, Ngù' 1993"
18,October 19 1993,Tuesday,Nthʉ̂'kwɑ̀,19-10-1993,1993 October 19,"līē' 19, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 19, Ndʉ̌'nzɑ̄, Ngù' 1993"
19,October 20 1993,Wednesday,Nthʉ̂'ntāā,20-10-1993,1993 October 20,"līē' 20, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'ntāā, līē' 20, Ndʉ̌'nzɑ̄, Ngù' 1993"
20,October 21 1993,Thursday,Líé'nkwe',21-10-1993,1993 October 21,"līē' 21, Ndʉ̌'nzɑ̄, Ngù' 1993","Líé'nkwe', līē' 21, Ndʉ̌'nzɑ̄, Ngù' 1993"
21,October 22 1993,Friday,Nkɑ́ɑ́tēē,22-10-1993,1993 October 22,"līē' 22, Ndʉ̌'nzɑ̄, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 22, Ndʉ̌'nzɑ̄, Ngù' 1993"
22,October 23 1993,Saturday,Nshwīe'ko,23-10-1993,1993 October 23,"līē' 23, Ndʉ̌'nzɑ̄, Ngù' 1993","Nshwīe'ko, līē' 23, Ndʉ̌'nzɑ̄, Ngù' 1993"
23,October 24 1993,Sunday,Ncômntēē,24-10-1993,1993 October 24,"līē' 24, Ndʉ̌'nzɑ̄, Ngù' 1993","Ncômntēē, līē' 24, Ndʉ̌'nzɑ̄, Ngù' 1993"
24,October 25 1993,Monday,Nzîngū,25-10-1993,1993 October 25,"līē' 25, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîngū, līē' 25, Ndʉ̌'nzɑ̄, Ngù' 1993"
25,October 26 1993,Tuesday,Nzîsō,26-10-1993,1993 October 26,"līē' 26, Ndʉ̌'nzɑ̄, Ngù' 1993","Nzîsō, līē' 26, Ndʉ̌'nzɑ̄, Ngù' 1993"
26,October 27 1993,Wednesday,Nthʉ̂'kwɑ̀,27-10-1993,1993 October 27,"līē' 27, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 27, Ndʉ̌'nzɑ̄, Ngù' 1993"
27,October 28 1993,Thursday,Nthʉ̂'ntāā,28-10-1993,1993 October 28,"līē' 28, Ndʉ̌'nzɑ̄, Ngù' 1993","Nthʉ̂'ntāā, līē' 28, Ndʉ̌'nzɑ̄, Ngù' 1993"
28,October 29 1993,Friday,Líé'nkwe',29-10-1993,1993 October 29,"līē' 29, Ndʉ̌'nzɑ̄, Ngù' 1993","Líé'nkwe', līē' 29, Ndʉ̌'nzɑ̄, Ngù' 1993"
29,October 30 1993,Saturday,Nkɑ́ɑ́tēē,30-10-1993,1993 October 30,"līē' 30, Ndʉ̌'nzɑ̄, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 30, Ndʉ̌'nzɑ̄, Ngù' 1993"
30,October 31 1993,Sunday,Nshwīe'ko,31-10-1993,1993 October 31,"līē' 31, Ndʉ̌'nzɑ̄, Ngù' 1993","Nshwīe'ko, līē' 31, Ndʉ̌'nzɑ̄, Ngù' 1993"
0,November 1 1993,Monday,Ncômntēē,01-11-1993,1993 November 01,"Ntûmbhì līē', Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Ncômntēē, Ntûmbhì līē', Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
1,November 2 1993,Tuesday,Nzîngū,02-11-1993,1993 November 02,"līē' 2, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîngū, līē' 2, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
2,November 3 1993,Wednesday,Nzîsō,03-11-1993,1993 November 03,"līē' 3, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîsō, līē' 3, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
3,November 4 1993,Thursday,Nthʉ̂'kwɑ̀,04-11-1993,1993 November 04,"līē' 4, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 4, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
4,November 5 1993,Friday,Nthʉ̂'ntāā,05-11-1993,1993 November 05,"līē' 5, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'ntāā, līē' 5, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
5,November 6 1993,Saturday,Líé'nkwe',06-11-1993,1993 November 06,"līē' 6, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Líé'nkwe', līē' 6, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
6,November 7 1993,Sunday,Nkɑ́ɑ́tēē,07-11-1993,1993 November 07,"līē' 7, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 7, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
7,November 8 1993,Monday,Nshwīe'ko,08-11-1993,1993 November 08,"līē' 8, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nshwīe'ko, līē' 8, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
8,November 9 1993,Tuesday,Ncômntēē,09-11-1993,1993 November 09,"līē' 9, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Ncômntēē, līē' 9, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
9,November 10 1993,Wednesday,Nzîngū,10-11-1993,1993 November 10,"līē' 10, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîngū, līē' 10, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
10,November 11 1993,Thursday,Nzîsō,11-11-1993,1993 November 11,"līē' 11, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîsō, līē' 11, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
11,November 12 1993,Friday,Nthʉ̂'kwɑ̀,12-11-1993,1993 November 12,"līē' 12, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 12, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
12,November 13 1993,Saturday,Nthʉ̂'ntāā,13-11-1993,1993 November 13,"līē' 13, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'ntāā, līē' 13, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
13,November 14 1993,Sunday,Líé'nkwe',14-11-1993,1993 November 14,"līē' 14, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Líé'nkwe', līē' 14, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
14,November 15 1993,Monday,Nkɑ́ɑ́tēē,15-11-1993,1993 November 15,"līē' 15, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 15, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
15,November 16 1993,Tuesday,Nshwīe'ko,16-11-1993,1993 November 16,"līē' 16, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nshwīe'ko, līē' 16, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
16,November 17 1993,Wednesday,Ncômntēē,17-11-1993,1993 November 17,"līē' 17, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Ncômntēē, līē' 17, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
17,November 18 1993,Thursday,Nzîngū,18-11-1993,1993 November 18,"līē' 18, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîngū, līē' 18, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
18,November 19 1993,Friday,Nzîsō,19-11-1993,1993 November 19,"līē' 19, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nzîsō, līē' 19, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
19,November 20 1993,Saturday,Nthʉ̂'kwɑ̀,20-11-1993,1993 November 20,"līē' 20, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'kwɑ̀, līē' 20, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
20,November 21 1993,Sunday,Nthʉ̂'ntāā,21-11-1993,1993 November 21,"līē' 21, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nthʉ̂'ntāā, līē' 21, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
21,November 22 1993,Monday,Líé'nkwe',22-11-1993,1993 November 22,"līē' 22, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Líé'nkwe', līē' 22, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
22,November 23 1993,Tuesday,Nkɑ́ɑ́tēē,23-11-1993,1993 November 23,"līē' 23, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nkɑ́ɑ́tēē, līē' 23, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
23,November 24 1993,Wednesday,Nshwīe'ko,24-11-1993,1993 November 24,"līē' 24, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993","Nshwīe'ko, līē' 24, Nkhʉ̀ɑ̀nʉ̀ɑ̀, Ngù' 1993"
